t,posx,posy,posz,vx,vy,vz,Rx,Ry,ox,oy,finx,finy,finz,thx,thy,thz,aero_x,aero_y,aero_z,at_x,at_y,at_z
38.92016607657916,18.224710242634078,-43.04837670177993,318.6285259019212,-13.826234125464786,26.321070999828915,-144.56281409249894,0.09063245679581244,0.10245588433219421,0.08707847246542788,-0.008660901631159101,0.043360568004116945,0.0,-0.013974371808457186,0.015672647302316767,0.10109399905746197,0.6151915087221536,-2475.139251139623,-11710.622183344572,1017.979185965107,-92514.69526966261,31012.23277467589,0.0
38.9385806660897,17.970796356380614,-42.56340935430562,315.97040263061456,-13.751151933457168,26.35066300478376,-144.13586330148178,0.09223512605586723,0.10228296860094833,0.08701142344392301,-0.01012780546988115,0.03814387693316166,0.0,-0.015706570241039757,0.017189574569904886,0.09963716401671796,0.6081053253487552,-2612.6243817850946,-11974.235671689985,1137.2145500608158,-97209.38472183273,33142.11251718963,0.0
38.95699525560023,17.718270037505036,-42.07791564423763,313.3200781850499,-13.675536994244258,26.378236156756312,-143.71578578375585,0.09383620117565494,0.10208317234125323,0.08693702439682262,-0.011591425382200014,0.03290678508223413,0.0,-0.017459542439897502,0.018706501837492784,0.09818032897597462,0.6010191419753586,-2746.6593649394713,-12236.84700821796,1266.7218705439768,-101866.76075822342,35252.05239903459,0.0
38.97540984511077,17.467140946475666,-41.59193257026643,310.6774260559581,-13.599398480920472,26.403813938483513,-143.3025756197934,0.0954357095276789,0.10185650212950821,0.08685381297710162,-0.01305110970260695,0.027647994302101832,0.0,-0.019237490064517415,0.02022342910508046,0.09672349393523105,0.593932958601961,-2877.288552009927,-12499.7963112811,1407.8408764184292,-106494.53210984112,37343.32920562177,0.0
38.99382443462131,17.21741861426771,-41.10549669402661,308.04231984097555,-13.52274511446917,26.42741975441003,-142.89622690882987,0.09703363518798722,0.10160298079249702,0.08676077344463373,-0.014506382942831554,0.02236865037510448,0.0,-0.02103695250480897,0.02174035637266858,0.09526665889448727,0.5868467752285627,-3004.6074394693505,-12763.15099009348,1560.4883532206677,-111093.32688626804,39416.536203017095,0.0
39.012239024131844,16.969112442363407,-40.618644140097174,305.41463324464513,-13.445585163762713,26.449076930688314,-142.49673376886386,0.09862991893617175,0.10132264740738797,0.08665733666619148,-0.01595694579184087,0.016863845605515546,0.0,-0.022857696143041298,0.023257283640256476,0.0938098238537437,0.579760591855166,-3128.7559949763763,-13025.82698551307,1723.2421719079807,-115657.46886376213,41471.60774190775,0.0
39.03065361364238,16.72223170275171,-40.131410596000855,302.7942400784134,-13.367926445562366,26.46880871517857,-142.10409033665664,0.10022445825537017,0.10101555730173367,0.08654338011544616,-0.017402675115841232,0.011165563393013547,0.0,-0.024699656165032606,0.024774210907844374,0.09235298881300014,0.5726744084817694,-3249.828054816946,-13287.93701208299,1896.0325016816896,-120187.85280163126,43509.08934863149,0.0
39.04906820315292,16.476785537928453,-39.64383131220454,300.1810142606322,-13.289776324518341,26.486638277448765,-141.71829076773255,0.1018171073322649,0.10068178205347113,0.08641922787296782,-0.01884362395827734,0.005455957811369217,0.0,-0.026562747012981575,0.026291138175432494,0.09089615377225635,0.565588225108371,-3367.918162129757,-13549.594479817097,2078.788069260446,-124685.35660164223,45529.50555393422,0.0
39.06748279266346,16.232782960896486,-39.15594110211947,297.5748298165599,-13.211141713169846,26.50258870877461,-141.33932923637914,0.10340767705708222,0.10032140949092198,0.08628565062622541,-0.020280021539831373,-0.00026356195672890773,0.0,-0.028446862509512942,0.02780806544302017,0.089439318731513,0.5585020417349744,-3483.1214773320653,-13810.913468225535,2271.4367571269413,-129150.8427937155,47533.36040380964,0.0
39.085897382174,15.990232855165402,-38.667774342100714,294.9755608783587,-13.132029071945006,26.516683022139603,-140.96719993564673,0.104995935023594,0.09993454369279219,0.08614386566958655,-0.021712273258424696,-0.005991537906228395,0.0,-0.030351875982618504,0.029324992710608067,0.08798248369076944,0.5514158583615778,-3595.5336911763425,-14072.008698351525,2473.9061650961803,-133585.16003066945,49521.13799551001,0.0
