liquidfuel,mass,lx11,lx12,lx13,lx21,lx22,lx23,lx31,lx32,lx33,ex,ey,ez
1980.2674560546875,32091.904296875,1.16955675e6,-229.40457153320312,-1.0098145008087158,-229.40463256835938,13193.9716796875,154.7569580078125,-1.0098145008087158,154.75689697265625,1.169559125e6,-0.0011189957815513907,-8.33439959311386,0.0006804004903316896
1976.771240234375,32053.056640625,1.1683685e6,-229.6491241455078,-1.0096356868743896,-229.6491241455078,13177.7353515625,154.4320526123047,-1.009628176689148,154.43223571777344,1.168370875e6,-0.0011220789713659585,-8.33313756409432,0.0006792636025588217
1973.275146484375,32014.212890625,1.167179875e6,-229.2903594970703,-1.0098516941070557,-229.2903594970703,13161.4716796875,153.9718475341797,-1.0098665952682495,153.9716796875,1.167182125e6,-0.0011217952497384331,-8.33187494900664,0.0006769015839395987
1969.7789306640625,31975.3671875,1.1659915e6,-229.4691162109375,-1.0098069906234741,-229.4691162109375,13145.107421875,153.88006591796875,-1.0097994804382324,153.87994384765625,1.165993625e6,-0.0011238877836117211,-8.330607238263381,0.0006769899396908419
1966.2828369140625,31936.51953125,1.164802875e6,-229.11209106445312,-1.0095536708831787,-229.11203002929688,13128.7490234375,153.9048614501953,-1.0095536708831787,153.9049072265625,1.164805125e6,-0.0011228364120929868,-8.329337239321108,0.0006771780261178029
1962.78662109375,31897.671875,1.163613625e6,-229.09593200683594,-1.0094493627548218,-229.0959930419922,13112.451171875,153.78123474121094,-1.0094493627548218,153.78147888183594,1.163616e6,-0.001123018981746604,-8.328063204983767,0.0006773752974311431
1959.29052734375,31858.826171875,1.162424875e6,-228.9750518798828,-1.0091662406921387,-228.97511291503906,13096.1240234375,153.89549255371094,-1.0091588497161865,153.89549255371094,1.16242725e6,-0.001124709778289379,-8.326788197866625,0.0006791353345970974
1955.794189453125,31819.978515625,1.161236125e6,-228.8115692138672,-1.0091736316680908,-228.81173706054688,13079.7958984375,153.86688232421875,-1.0091662406921387,153.866943359375,1.161238375e6,-0.0011251653175072818,-8.325509817727028,0.0006793021273492073
1952.298095703125,31781.1328125,1.160047e6,-228.74403381347656,-1.0095089673995972,-228.7439727783203,13063.4970703125,153.58203125,-1.0094940662384033,153.58203125,1.160049375e6,-0.0011266570807633158,-8.324226624763151,0.0006786500187824229
1948.8018798828125,31742.2890625,1.158857625e6,-228.83349609375,-1.008965015411377,-228.83343505859375,13047.26171875,153.70994567871094,-1.0089352130889893,153.70982360839844,1.158860125e6,-0.0011275406981967606,-8.322940965469225,0.000680550868766977
1945.3057861328125,31703.44140625,1.1576685e6,-228.8709259033203,-1.0090917348861694,-228.87098693847656,13030.8720703125,153.61285400390625,-1.0090768337249756,153.61279296875,1.157670625e6,-0.00112905031544841,-8.321652840056549,0.0006803573777500738
1942.392333984375,31671.0703125,1.156677125e6,-228.5165252685547,-1.0089352130889893,-228.5165252685547,13017.3505859375,153.43063354492188,-1.0089502334594727,153.43069458007812,1.1566795e6,-0.0011285239343283848,-8.320575157957057,0.0006793311428912874
1938.89599609375,31632.22265625,1.1554875e6,-228.90794372558594,-1.0088160037994385,-228.9077606201172,13001.0234375,153.67555236816406,-1.0088160037994385,153.6756134033203,1.155489875e6,-0.0011324013318878556,-8.319280289174662,0.0006822620001135926
1935.39990234375,31593.376953125,1.154298375e6,-228.65235900878906,-1.0086745023727417,-228.65235900878906,12984.720703125,153.29408264160156,-1.0087043046951294,153.2940216064453,1.15430075e6,-0.0011327171722390617,-8.31798351110081,0.0006796712554065221
1931.9036865234375,31554.529296875,1.15310825e6,-228.43051147460938,-1.008711814880371,-228.43051147460938,12968.4287109375,153.24598693847656,-1.0087043046951294,153.24586486816406,1.153110625e6,-0.001132649689359333,-8.316682384473333,0.0006811725508816813
1928.4075927734375,31515.681640625,1.1519185e6,-228.35690307617188,-1.0087937116622925,-228.35684204101562,12952.0380859375,152.9545135498047,-1.0087862014770508,152.9547576904297,1.15192075e6,-0.001132945206977709,-8.31537877942912,0.0006800086776860281
1924.911376953125,31476.833984375,1.1507285e6,-228.37417602539062,-1.008346676826477,-228.37413024902344,12935.708984375,152.8809051513672,-1.0083317756652832,152.8809051513672,1.150730875e6,-0.0011346539182950366,-8.31407153704735,0.0006806439112489737
1921.415283203125,31437.9921875,1.149538625e6,-228.26861572265625,-1.0084956884384155,-228.26856994628906,12919.5,152.6709747314453,-1.0084956884384155,152.6709747314453,1.149541e6,-0.0011345331369518874,-8.312759954230435,0.0006792728503969836
1917.9189453125,31399.14453125,1.148348375e6,-228.42823791503906,-1.0083913803100586,-228.42813110351562,12903.08203125,152.61566162109375,-1.0084062814712524,152.61553955078125,1.148351e6,-0.001137758543022116,-8.311447616491575,0.0006799607980172984
1914.4228515625,31360.298828125,1.147158375e6,-228.47647094726562,-1.0082647800445557,-228.47647094726562,12886.84765625,153.3147735595703,-1.0082870721817017,153.31434631347656,1.14716075e6,-0.001139944361831624,-8.310129132308584,0.0006845911988300479
1910.9266357421875,31321.451171875,1.145968e6,-227.78392028808594,-1.008361577987671,-227.78379821777344,12870.546875,152.05955505371094,-1.008361577987671,152.05955505371094,1.1459705e6,-0.001137113982297322,-8.308809303895696,0.0006775414646744138
1907.4305419921875,31282.60546875,1.144777375e6,-228.0496368408203,-1.0082051753997803,-228.04957580566406,12854.189453125,152.37545776367188,-1.0081901550292969,152.37545776367188,1.144779875e6,-0.0011393159215655757,-8.30748667237415,0.0006808992204328235
1903.934326171875,31243.7578125,1.143586375e6,-227.79458618164062,-1.0080859661102295,-227.79452514648438,12837.857421875,152.52810668945312,-1.0080933570861816,152.52828979492188,1.143588875e6,-0.001138596699145289,-8.30615960710022,0.0006819090719701049
1900.438232421875,31204.912109375,1.14239625e6,-227.9323272705078,-1.0079517364501953,-227.9323272705078,12821.5966796875,152.23443603515625,-1.0079667568206787,152.234619140625,1.142398625e6,-0.0011417534550357544,-8.304828688829913,0.0006805764178426654
1896.9420166015625,31166.064453125,1.14120475e6,-227.99325561523438,-1.007683515548706,-227.99319458007812,12805.26171875,152.42498779296875,-1.0076910257339478,152.42529296875,1.141207125e6,-0.001143003338285098,-8.303494725078522,0.0006831697809876192
1893.4459228515625,31127.220703125,1.1400145e6,-227.82516479492188,-1.0080411434173584,-227.82528686523438,12788.9970703125,151.8728790283203,-1.0080411434173584,151.8728790283203,1.140017e6,-0.0011442274341995073,-8.302159040056031,0.0006795176188374163
1889.94970703125,31088.373046875,1.13882325e6,-227.73313903808594,-1.0079294443130493,-227.73313903808594,12772.6669921875,151.68165588378906,-1.00789213180542,151.68177795410156,1.13882575e6,-0.0011444106625333461,-8.30081766070671,0.000679605311904613
